E-id,Archival_Culture_Name,Possible_GJB_All_cid_Matches,Cultural_focus,Ensemble/Song_name,Instruments_in_Ensemble,See_I-ids,Additional_Comments,Bibliographic_Sources,Page/plate/illustration#,Archival_source,Source_Tag,Metadata_notes
141,SEMANG,30168,,,2 Idiochords; 4 Flutes used as percussion sticks,344; 348,Playing on musical instruments is forbidden during the period between a death and the soul's departure from earth.,"Evans, I. (1937). The Negritos of Malaya. Cambridge: Cambridge University Press","Evans, 123",,@Evans1937TheNegritosofMalaya,
142,SEMANG,30168,,,2 Percussion tubes; 2 Percussion sticks,347; 348,,"Evans, I. (1937). The Negritos of Malaya. Cambridge: Cambridge University Press","Evans, 118",,@Evans1937TheNegritosofMalaya,
143,SEMANG,30168,,,1 Zither-idiochord,344,"Said by one to be ""the ghost's"" Jew's harp","Evans, I. (1937). The Negritos of Malaya. Cambridge: Cambridge University Press","Evans, 122",,@Evans1937TheNegritosofMalaya,
135,DUSUN,14840,,,1 Split stick,338,,"Evans, I. (1953). The Religion of the Tempasuk Dusuns of North Borneo. Cambridge: Cambridge University Press.","Evans, 285",,@Evans1953TempasukDusuns,
136,DUSUN,14840,,,1 Rattle,337,,"Evans, I. (1953). The Religion of the Tempasuk Dusuns of North Borneo. Cambridge: Cambridge University Press.","Evans, 56, pl. IIC",,@Evans1953TempasukDusuns,
138,DUSUN,14840,,,2 Gongs; 2 Drums; 2 Gongs,328; 326; 329,,"Evans, I. (1953). The Religion of the Tempasuk Dusuns of North Borneo. Cambridge: Cambridge University Press.","Evans, 257",,@Evans1953TempasukDusuns,
112,YAGUA,28843,,,9 Percussion sticks; 2 Drums,272; 173,,"Fejos, P. (1943). Ethnography of the Yagua. Viking Fund Publications in Anthropology, 1. New York: The Viking Fund.","Fejos, 93",,@Fejos1943Yagua,
34,IROQUOIS,17282,,Feather Dance,2 Rattles,101,,"Fenton, W. (1942). [Liner notes]. Songs from the Iroquois Longhouse. Archive of Folk Song, Library of Congress. Retrieved https://www.loc.gov/folklife/LP/Iroquois_L6_opt.pdf",,1B11.A1,@AFS1942Iroquois,
35,IROQUOIS,17282,,Medicine men's society,15 Rattles,100,,"Fenton, W. (1942). [Liner notes]. Songs from the Iroquois Longhouse. Archive of Folk Song, Library of Congress. Retrieved https://www.loc.gov/folklife/LP/Iroquois_L6_opt.pdf",,1B11.A7,@AFS1942Iroquois,
36,IROQUOIS,17282,,,1 Drum,97,,"Fenton, W. (1942). [Liner notes]. Songs from the Iroquois Longhouse. Archive of Folk Song, Library of Congress. Retrieved https://www.loc.gov/folklife/LP/Iroquois_L6_opt.pdf",,1B11,@AFS1942Iroquois,
37,IROQUOIS,17282,,Eagle Dance,1 Drum; 4 Horn rattles,97; 99,,"Fenton, W. (1942). [Liner notes]. Songs from the Iroquois Longhouse. Archive of Folk Song, Library of Congress. Retrieved https://www.loc.gov/folklife/LP/Iroquois_L6_opt.pdf",,1B11.B4,@AFS1942Iroquois,
38,IROQUOIS,17282,,Corn Dance,2 Rattles,99,,"Fenton, W. (1942). [Liner notes]. Songs from the Iroquois Longhouse. Archive of Folk Song, Library of Congress. Retrieved https://www.loc.gov/folklife/LP/Iroquois_L6_opt.pdf",,1B11.B1,@AFS1942Iroquois,
39,IROQUOIS,17282,,Shuffle Dance,1 Drum; 6 Rattles,97; 99,,"Fenton, W. (1942). [Liner notes]. Songs from the Iroquois Longhouse. Archive of Folk Song, Library of Congress. Retrieved https://www.loc.gov/folklife/LP/Iroquois_L6_opt.pdf",,1B11.B6,@AFS1942Iroquois,
716,TIKOPIA,27083,,Ordinary Dance,1 Trough,1510,,"Firth, R. (1940). The Work of the Gods in Tikopia. Monographs on social anthropology, 1-2. London: London school of economics and political science.","Firth, 276",,@Firth1940,
128,OMAHA,,,,1 Drum; 1 Rattle,318; 315,,"Fletcher, A. & La Flesche, F. (1911). The Omaha Tribes. Washington: 27th Annual report of the Bureau of American Ethnology.","Fletcher & La Flesche, 500-01",,@FletcherLaFlesche1911TheOmahaTribes,
129,OMAHA,,,,1 Drum,318,,"Fletcher, A. & La Flesche, F. (1911). The Omaha Tribes. Washington: 27th Annual report of the Bureau of American Ethnology.","Fletcher & La Flesche, 461",,@FletcherLaFlesche1911TheOmahaTribes,
130,OMAHA,,,,1 Drum,316,,"Fletcher, A. & La Flesche, F. (1911). The Omaha Tribes. Washington: 27th Annual report of the Bureau of American Ethnology.","Fletcher & La Flesche, 585",,@FletcherLaFlesche1911TheOmahaTribes,
340,TOMA,27314,,,1 Harp,938,,"Gaisseau, P., Fichtet, J. & Saulnier, T. (1955). [Liner notes]. Guinée : musique Toma. Département d'ethnomusicologie, CNRS, Musée de l'Homme, Paris. In Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie. Retrieved from https://archives.crem-cnrs.fr/archives/collections/CNRSMH_E_1955_009_001/",,4A3,@CNRS1955GuineeToma,
341,TOMA,27314,,,1 Drum-xylophone; 6 Bells,939; 941,,"Gaisseau, P., Fichtet, J. & Saulnier, T. (1955). [Liner notes]. Guinée : musique Toma. Département d'ethnomusicologie, CNRS, Musée de l'Homme, Paris. In Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie. Retrieved from https://archives.crem-cnrs.fr/archives/collections/CNRSMH_E_1955_009_001/",,4A3,@CNRS1955GuineeToma,
342,TOMA,27314,,,3 Drums; 2 Drums; 6 Bells,937; 936; 941,,"Gaisseau, P., Fichtet, J. & Saulnier, T. (1955). [Liner notes]. Guinée : musique Toma. Département d'ethnomusicologie, CNRS, Musée de l'Homme, Paris. In Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie. Retrieved from https://archives.crem-cnrs.fr/archives/collections/CNRSMH_E_1955_009_001/",,4A3,@CNRS1955GuineeToma,
343,TOMA,27314,,,4 Jugs; 4 Bells; 3 Whistles; 6 Clapping,942; 941; 944; 943,,"Gaisseau, P., Fichtet, J. & Saulnier, T. (1955). [Liner notes]. Guinée : musique Toma. Département d'ethnomusicologie, CNRS, Musée de l'Homme, Paris. In Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie. Retrieved from https://archives.crem-cnrs.fr/archives/collections/CNRSMH_E_1955_009_001/",,4A3,@CNRS1955GuineeToma,
104,TSIMSHIAN,27523,,,1 Drum; 5 Rattles,256; 254,,"Garfield, V. E., Wingert, P. & Barbeau, M. (1951). The Tsimshian: Their Arts and Music. Publications of the American Ethnological Society, 18. New York: J.J. Augustin.","Garfield, 56",,@GarfieldEtAl1951TheTsimshian,
105,TSIMSHIAN,27523,,,6 Whistles,255,,"Garfield, V. E., Wingert, P. & Barbeau, M. (1951). The Tsimshian: Their Arts and Music. Publications of the American Ethnological Society, 18. New York: J.J. Augustin.","Garfield, 56",,@GarfieldEtAl1951TheTsimshian,
325,ABELAM,10033,,Mbire,15 Rattles; 4 Gongs; 30 Sticks; 4 Horns; 15 Drums,905; 904; 903; 902; 901,,"Gillard, E. T. & Gilliard, M. (1963). [Recording notes]. New Guinea - Abelam tapes. In Anthony Forge papers. MSS 411. Special Collections & Archives, UC San Diego Library.",,T1542,@AFP1963AbelamTapes,
131,HUPA,16930,,,1 Rattle,319,,"Goddard, P. (1903-04). Life and Culture of the Hupa. University of California Publications in American Archaeology & Ethnology 1(1). Berkeley: University of California Press.","Goddard, 78",,@Goddard1903-04Hupa,
132,HUPA,16930,,,25 Split sticks,320,,"Goddard, P. (1903-04). Life and Culture of the Hupa. University of California Publications in American Archaeology & Ethnology 1(1). Berkeley: University of California Press.","Goddard, 54",,@Goddard1903-04Hupa,
724,TRUK,27490,,,1 Flute,1558,,"Goodenough, W. H. (1951). Property, Kin and Community on Truk. New Haven: Yale University Press.",,,@Goodenough1951Truk,
765,N INDIA,18448,Refers specifically to Khattak people of Pakistan,Khatak Dance,3 Bagpipes; 2 Hand drums (duff); 2 Large drums,1643; 1642; 1654,,"Gorella, J. (1951). [Liner notes]. Folk Music of Pakistan. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/folk-music-of-pakistan/central-asia-islamica-world/album/smithsonian",,2C16,@FW1951FolkMusicOfPakistan,
767,N INDIA,25598,The particular song used as the source material for this coding is from the Sindh region,,1 Lute (tanpura); 1 Box lute (sarinda); 1 Earthen pot,1649; 1638; 1656,,"Gorella, J. (1951). [Liner notes]. Folk Music of Pakistan. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/folk-music-of-pakistan/central-asia-islamica-world/album/smithsonian",,2C16.A6,@FW1951FolkMusicOfPakistan,
322,TRASOSMONT,,,,1 Flute; 1 Triangle,898; 894,,"Graca, F. L. & Giacomatti, M. (1962). Anthology of Portuguese Music, Vol. 1: Tras-Os-Montes. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/anthology-of-portuguese-music-vol-1-tras-os-montes-and-vol-2-algarve/world/album/smithsonian",,7D30,@FW1962AnthologyOfPortugueseMusic,
323,TRASOSMONT,,,,1 Bagpipe; 1 Tambourine; 1 Triangle,900; 893; 894,,"Graca, F. L. & Giacomatti, M. (1962). Anthology of Portuguese Music, Vol. 1: Tras-Os-Montes. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/anthology-of-portuguese-music-vol-1-tras-os-montes-and-vol-2-algarve/world/album/smithsonian",,7D30,@FW1962AnthologyOfPortugueseMusic,
324,TRASOSMONT,,,,1 Bagpipe; 1 Tambourine; 1 Drum; 2 Castanets,900; 899; 892; 896,,"Graca, F. L. & Giacomatti, M. (1962). Anthology of Portuguese Music, Vol. 1: Tras-Os-Montes. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/anthology-of-portuguese-music-vol-1-tras-os-montes-and-vol-2-algarve/world/album/smithsonian",,7D30,@FW1962AnthologyOfPortugueseMusic,
506,HAUSA,"16589, 62528","Source refers to the Muslim city of Kano, as well as ""pagan villages""",Bori festival,1 Guitar (garaya),1259,,"Greenberg, J. H. (1946). The Influence of Islam on a Sudanese Religion. Monographs of the American Ethnological Society, 10. New York: J.J. Augustin.",,,@Greenberg1946InfluenceofIslam,
145,GOND,21924,Sources refer specifically to Muria Gond,,13 Drums; 13 Bells,364; 360,,"Grigson, W. (1938). The Maria Gonds of Bastar. London: Oxford University Press","Grigson, 81",,@Grigson1938TheMariaGondsofBastar,
146,GOND,21924,Sources refer specifically to Muria Gond,,2 Flutes; 2 Drums (dol),355; 361,,"Grigson, W. (1938). The Maria Gonds of Bastar. London: Oxford University Press","Grigson, 183",,@Grigson1938TheMariaGondsofBastar,
493,KAZAK,18294,,,1 Lute (kobyz),1252,,"Grodekov, N. I. (1889). The Kazakhs and Kirgiz of the Syr-Darya Oblast, Vol. 1: Juridical Life. Tashkent: The Typolithography of S. I. Lakhtin.",,,@Grodekov1889KazakhsKirgiz,
494,KAZAK,18294,,,1 Oboe (zurna),1250,,"Grodekov, N. I. (1889). The Kazakhs and Kirgiz of the Syr-Darya Oblast, Vol. 1: Juridical Life. Tashkent: The Typolithography of S. I. Lakhtin.",,,@Grodekov1889KazakhsKirgiz,
495,KAZAK,18294,,,1 Flute (sybyzga),1251,,"Grodekov, N. I. (1889). The Kazakhs and Kirgiz of the Syr-Darya Oblast, Vol. 1: Juridical Life. Tashkent: The Typolithography of S. I. Lakhtin.",,,@Grodekov1889KazakhsKirgiz,
496,KAZAK,18294,,,1 Lute (balalaika),1253,,"Grodekov, N. I. (1889). The Kazakhs and Kirgiz of the Syr-Darya Oblast, Vol. 1: Juridical Life. Tashkent: The Typolithography of S. I. Lakhtin.; Levchine, A. (1840). Description of the Kirghiz-Kazak. Paris: L'Imprimerie Royale.",,,@Grodekov1889KazakhsKirgiz @Levchine1840Kirghiz-Kazak,
550,FR URBBAR,28568,,Suite,1 Lute,1782,,"Grout, D. J. (1960). A History of Western Music. New York: W. W. Norton & Co.",,,@Grout1960AHistoryofWesternMusic,
551,FR URBBAR,28568,,Suite,1 Harpsichord (clavecin),1781,,"Grout, D. J. (1960). A History of Western Music. New York: W. W. Norton & Co.",,,@Grout1960AHistoryofWesternMusic,
552,FR URBBAR,28568,,Church & chamber sonata,2 Violins; 1 Cello; 1 Harpsichord,1785; 1787; 1781,,"Grout, D. J. (1960). A History of Western Music. New York: W. W. Norton & Co.",,,@Grout1960AHistoryofWesternMusic,
559,GER URBBAR,"15819, 50257, 15852",,Suite,1 Lute,1753,,"Grout, D. J. (1960). A History of Western Music. New York: W. W. Norton & Co.",,,@Grout1960AHistoryofWesternMusic,
563,GER URBBAR,15852,"Refers specifically to ""Banchetto Musicale"" by Johann Hermann Schei",Banchetto Musicale,5 Viols,1758,Johann Hermann Schei,"Grout, D. J. (1960). A History of Western Music. New York: W. W. Norton & Co.",,,@Grout1960AHistoryofWesternMusic,
564,GER URBBAR,"15819, 50257, 15852",,,1 Organ,1755,,"Grout, D. J. (1960). A History of Western Music. New York: W. W. Norton & Co.",,,@Grout1960AHistoryofWesternMusic,
569,IT URBBAR,"19922, 22190",,Sonata,2 Violins; 1 Harpsichord; 1 Cello,1770; 1767; 1760,Alt. harpsichord and cello (?),"Grout, D. J. (1960). A History of Western Music. New York: W. W. Norton & Co.",,,@Grout1960AHistoryofWesternMusic,
570,IT URBBAR,"19922, 22191",,Sonata,1 Violin,1770,Church & chamber sonata,"Grout, D. J. (1960). A History of Western Music. New York: W. W. Norton & Co.",,,@Grout1960AHistoryofWesternMusic,
571,IT URBBAR,"19922, 22192",,Ricercar,1 Organ,1771,,"Grout, D. J. (1960). A History of Western Music. New York: W. W. Norton & Co.",,,@Grout1960AHistoryofWesternMusic,
577,IT URBBAR,,Refers specifically to Giovanni Gabrieli,Canzona,1 Viol; 1 Cornett; 9 Trombones,1773; 1766; 1772,Giovanni Gabrieli,"Grout, D. J. (1960). A History of Western Music. New York: W. W. Norton & Co.",,,@Grout1960AHistoryofWesternMusic,
742,CHAGGA,13388,,Praise Song,1 Bells,1596,,"Gutmann, B. (1926). Chagga Law. Arbeiten fur Entwicklungspsychologie, 7. Munich: C. H. Beck.",,,@Gutmann1926ChaggaLaw,
159,MURRAYTOR,21946,,,6 Trumpets,416,,"Haddon, A.C., Rivers, W. H. R., Seligman, C. G., Myers, C. S., McDougall, W., Ray, S. H., & Wilkin, A. (1908). Report of the Cambridge Anthropological Expedition to the Torres Straits, Vol. V: Sociology, Magic and Religion of the Western Islanders. Cambridge: Cambridge University Press","Haddon et al., 300-01",,@HaddonEtAl1908TorresStraitsV,
160,MURRAYTOR,21946,,,25 Bullroarers,414,"Grunting, not singing","Haddon, A.C., Rivers, W. H. R., Seligman, C. G., Myers, C. S., McDougall, W., Ray, S. H., & Wilkin, A. (1908). Report of the Cambridge Anthropological Expedition to the Torres Straits, Vol. V: Sociology, Magic and Religion of the Western Islanders. Cambridge: Cambridge University Press; Haddon, A.C., Rivers, W. H. R., Seligman, C. G., Myers, C. S., McDougall, W., Ray, S. H., & Wilkin, A. (1908). Report of the Cambridge Anthropological Expedition to the Torres Straits, Vol. VI: Sociology, Magic and Religion of the Eastern Islanders. Cambridge: Cambridge University Press","Haddon et al. (Vol. V), 220; Haddon et al. (Vol. VI), 213",,@HaddonEtAl1908TorresStraitsV @HaddonEtAl1908TorresStraitsVI,
161,TORRES,"62552, 30200, 30098",,,1 Split ideophone (Kirkir; Keber),409,,"Haddon, A.C., Rivers, W. H. R., Seligman, C. G., Myers, C. S., McDougall, W., Ray, S. H., & Wilkin, A. (1908). Report of the Cambridge Anthropological Expedition to the Torres Straits, Vol. VI: Sociology, Magic and Religion of the Eastern Islanders. Cambridge: Cambridge University Press","Haddon et al., 199",,@HaddonEtAl1908TorresStraitsVI,
162,MURRAYTOR,21946,,,2 Drums; 6 Split ideophones (Kirkir; Keber),406; 409,,"Haddon, A.C., Rivers, W. H. R., Seligman, C. G., Myers, C. S., McDougall, W., Ray, S. H., & Wilkin, A. (1908). Report of the Cambridge Anthropological Expedition to the Torres Straits, Vol. VI: Sociology, Magic and Religion of the Eastern Islanders. Cambridge: Cambridge University Press","Haddon et al., 196",,@HaddonEtAl1908TorresStraitsVI,
163,MURRAYTOR,21946,,,1 Drum; 1 Rattle,406; 410,,"Haddon, A.C., Rivers, W. H. R., Seligman, C. G., Myers, C. S., McDougall, W., Ray, S. H., & Wilkin, A. (1908). Report of the Cambridge Anthropological Expedition to the Torres Straits, Vol. VI: Sociology, Magic and Religion of the Eastern Islanders. Cambridge: Cambridge University Press","Haddon et al., 130-34",,@HaddonEtAl1908TorresStraitsVI,
503,HAUSA,62528,Source refers specifically to the Emirate of Abuja,,"1 Trumpet (fare, pampani)",1261,Long wooden horn,"Hassan, M. & Shuaibu, M. (1952). A Chronicle of Abuja. (F. Heath, trans.) Ibadan: Ibadan University Press.",,,@HassanShuaibu1952AChronicleofAbuja,
505,HAUSA,62528,Source refers specifically to the Emirate of Abuja,Bori gathering,1 Guitar (garaya); 1 Fiddle (goge); 1 Calabash or clapper,1259; 1256; 1258,,"Hassan, M. & Shuaibu, M. (1952). A Chronicle of Abuja. (F. Heath, trans.) Ibadan: Ibadan University Press.",,,@HassanShuaibu1952AChronicleofAbuja,
507,HAUSA,62528,Source refers specifically to the Emirate of Abuja,,1 Clapper,1258,"Two flat pieces of metal joined on a stem, struck repeatedly with a horn","Hassan, M. & Shuaibu, M. (1952). A Chronicle of Abuja. (F. Heath, trans.) Ibadan: Ibadan University Press.",,,@HassanShuaibu1952AChronicleofAbuja,
508,HAUSA,62528,Source refers specifically to the Emirate of Abuja,,3 Conical drums,1257,"Largest is 16 inches across, made of wood; other two are 10 inches across and brass. Conical drums with point resting on the ground.","Hassan, M. & Shuaibu, M. (1952). A Chronicle of Abuja. (F. Heath, trans.) Ibadan: Ibadan University Press.",,,@HassanShuaibu1952AChronicleofAbuja,
393,TIBET,27028,,,1 Trumpet,1027,,"Hermanns, M. (1948). The A Mdo Pa Greater Tibetans: The Socio-economic basis of the Pastoral Cultures of Inner Asia. Freiburg: Philosophische Fakultät der Universität Freiburg in der Schweiz",,,@Hermanns1948TheAMdoPaGreaterTibetans,
398,TIBET,27028,,,1 Flute,1039,,"Hermanns, M. (1948). The A Mdo Pa Greater Tibetans: The Socio-economic basis of the Pastoral Cultures of Inner Asia. Freiburg: Philosophische Fakultät der Universität Freiburg in der Schweiz; MacDonald, D. (1929). The Land of the Lama. London: Seeley, Service and Co.",,,@MacDonald1929TheLandoftheLama @Hermanns1948TheAMdoPaGreaterTibetans,
224,EGYPTANCT,11049,,,4 Percussion sticks,592,,"Hickmann, H. (1956). 45 siècles de musique dans l'Égypte ancienne : à travers la sculpture, la peinture, l'instrument. Paris: La Revue Musicale, Richard-Masse, Editeurs.","Hickmann, 20",,@Hickmann1956ÉgypteAncienne,
226,EGYPTANCT,11049,,,1 Oboe; 1 Lyre,583; 581,,"Hickmann, H. (1956). 45 siècles de musique dans l'Égypte ancienne : à travers la sculpture, la peinture, l'instrument. Paris: La Revue Musicale, Richard-Masse, Editeurs.","Hickmann, pl. XXXI; p. 12",,@Hickmann1956ÉgypteAncienne,
227,EGYPTANCT,11049,,,1 Flute; 1 Clarinet; 4 Harps,591; 590; 588,,"Hickmann, H. (1956). 45 siècles de musique dans l'Égypte ancienne : à travers la sculpture, la peinture, l'instrument. Paris: La Revue Musicale, Richard-Masse, Editeurs.","Hickmann, pl. XVI; p. 9",,@Hickmann1956ÉgypteAncienne,
228,EGYPTANCT,11049,,,2 Flutes; 1 Clarinet; 2 Harps,591; 590; 588,,"Hickmann, H. (1956). 45 siècles de musique dans l'Égypte ancienne : à travers la sculpture, la peinture, l'instrument. Paris: La Revue Musicale, Richard-Masse, Editeurs.","Hickmann, pl. IV; p.7",,@Hickmann1956ÉgypteAncienne,
229,EGYPTANCT,11049,,,2 Harps,588,,"Hickmann, H. (1956). 45 siècles de musique dans l'Égypte ancienne : à travers la sculpture, la peinture, l'instrument. Paris: La Revue Musicale, Richard-Masse, Editeurs.","Hickmann, 63",,@Hickmann1956ÉgypteAncienne,
230,EGYPTANCT,11049,,,1 Flute; 5 Harps,591; 588,,"Hickmann, H. (1956). 45 siècles de musique dans l'Égypte ancienne : à travers la sculpture, la peinture, l'instrument. Paris: La Revue Musicale, Richard-Masse, Editeurs.","Hickmann, pl. I; p. 7",,@Hickmann1956ÉgypteAncienne,
701,VIETNAM,28271,,Court,1 Conductor; 2 Flutes (cai-ong-dich); 2 Castanets (cai cap ke); 1 Gong chime (cai thien can); 1 Bichord (cai nhi); 1 Guitar (cai dan ty); 1 Guitar (cai dan nguyet); 1 Guitar (cai dan day),1487; 619; 1486; 1485; 616; 614; 613; 612,,"Hoàng-Yèn. (1919). La musique a Hué, Dòn-Nguyet et Dòn-Tranh. Bulletin des Amis du Vieux Hué, 6, 233-387. Hanoi-Haiphong: Imprimerie d'Extreme-Orient. (See also translation: The music of Hué, Don-Nguyet and Don-Tranh. (1953). K. Botsford, trans. New Haven: HRAF).",,,@Hoàng-Yèn1919HuéDòn-NguyetDòn-Tranh  ,
704,VIETNAM,28271,,Folk Orchestra,1 Flute; 1 Fiddle; 1 Guitar; 1 Guitar; 1 Zither; 1 Castanets; 1 Drum; 1 Gong chime,619; 616; 613; 614; 611; 1486; 607; 1485,,"Hoàng-Yèn. (1919). La musique a Hué, Dòn-Nguyet et Dòn-Tranh. Bulletin des Amis du Vieux Hué, 6, 233-387. Hanoi-Haiphong: Imprimerie d'Extreme-Orient. (See also translation: The music of Hué, Don-Nguyet and Don-Tranh. (1953). K. Botsford, trans. New Haven: HRAF).",,,@Hoàng-Yèn1919HuéDòn-NguyetDòn-Tranh  ,
223,TUAREGHOG,27545,,,3 Frame drums,575,,"Holliday, F. & Holliday, G. (1960). [Liner notes]. Tuareg Music of the Southern Sahara. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/tuareg-music-of-the-southern-sahara","Holliday & Holliday, 7",4A30,@FW1960TuaregMusicOfSouthernSahara,
231,TUAREGHOG,27545,,,1 Fiddle,578,,"Holliday, F. & Holliday, G. (1960). [Liner notes]. Tuareg Music of the Southern Sahara. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/tuareg-music-of-the-southern-sahara",,4A30,@FW1960TuaregMusicOfSouthernSahara,
232,TUAREGHOG,27545,,,1 Fiddle,578,"Sung by man, accompanied by woman on fiddle","Holliday, F. & Holliday, G. (1960). [Liner notes]. Tuareg Music of the Southern Sahara. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/tuareg-music-of-the-southern-sahara","Holliday & Holliday, 5",,@FW1960TuaregMusicOfSouthernSahara,
233,TUAREGHOG,27545,,,1 Drum; 1 Water drum; Handclapping,577; 576,,"Holliday, F. & Holliday, G. (1960). [Liner notes]. Tuareg Music of the Southern Sahara. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/tuareg-music-of-the-southern-sahara",,,@FW1960TuaregMusicOfSouthernSahara,
328,BAHIMA,11342,,,1 Zither,913,,"Hopkins, T. & Hopkins, E. (1962-63). [Liner notes]. Hopkins Recordings from Uganda 1962-1963. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,T1245; T1246,@ALC1962-3HopkinsUganda,
329,BAHIMA,11342,,,6 Flutes; 3 Rattles; 11 Drums; 2 Ankle bells,912; 914; 1585; 1586,Royal orchestra,"Hopkins, T. & Hopkins, E. (1962-63). [Liner notes]. Hopkins Recordings from Uganda 1962-1963. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,T1245; T1246,@ALC1962-3HopkinsUganda,
235,PERSIA,17249,,,1 Lute (tar),623,,Iran II: Classical Modal Music. (2005). Musical Anthology of the Orient series. UNESCO Collection of Traditional Music of the World. Bärenreiter-Musicaphon. Retrieved from https://www.discogs.com/Various-Iran-II/release/14956329,,2C48.3,@MAO2005IranII,
236,PERSIA,17249,,,1 Flute (nay),631,,Iran II: Classical Modal Music. (2005). Musical Anthology of the Orient series. UNESCO Collection of Traditional Music of the World. Bärenreiter-Musicaphon. Retrieved from https://www.discogs.com/Various-Iran-II/release/14956330,,2C48.5,@MAO2005IranII,
237,PERSIA,17249,,,1 Lute (tar); 1 Fiddle (kemantche),623; 620,,Iran II: Classical Modal Music. (2005). Musical Anthology of the Orient series. UNESCO Collection of Traditional Music of the World. Bärenreiter-Musicaphon. Retrieved from https://www.discogs.com/Various-Iran-II/release/14956331,,2C48.6,@MAO2005IranII,
40,SOLOMON,"10000, 11281, 15282",Source refers specifically to the South East Solomon Islands,,8 Panpipies; 8 Panpipes; 12 Panpipes,110; 111; 112,,"Ivens, W. G. (1927). Melanesians of the South-East Solomon Islands. London: Kegan Paul, Trench, Trubner.",,,@Ivens1927South-EastSolomonIslands,
41,SOLOMON,"10000, 11281, 15282",Source refers specifically to the South East Solomon Islands,,1 Slit drum; 2 Slit drums,115; 116,,"Ivens, W. G. (1927). Melanesians of the South-East Solomon Islands. London: Kegan Paul, Trench, Trubner.",,,@Ivens1927South-EastSolomonIslands,
42,SOLOMON,"10000, 11281, 15282",Source refers specifically to the South East Solomon Islands,,1 Panpipe,110,,"Ivens, W. G. (1927). Melanesians of the South-East Solomon Islands. London: Kegan Paul, Trench, Trubner.",,,@Ivens1927South-EastSolomonIslands,
385,BONTOK,30140,,,1 Jew's harp,1061,,"Jenks, A. (1905). The Bontoc Igorot. Ethnological Survey Publications, 1.",,,@Jenks1905TheBontocIgorot,
386,BONTOK,30140,,,2 Gongs; 2 Gongs,1062; 1063,,"Jenks, A. (1905). The Bontoc Igorot. Ethnological Survey Publications, 1.",,,@Jenks1905TheBontocIgorot,
382,YAKUT,28898,,Shaman,1 Drum; 4 Bells,1049; 1048,Shaman drum with bells hung on shaman's coat,"Jochelson, W. (1933). The Yakut. Anthropological Papers of the American Museum of Natural History, 33. New York: American Museum of Natural History.",,,@Jochelson1933TheYakut,
447,YORUBA,29107,,Isugbins Palace Orchestra,50 Bugles (okinkin); 50 Fifes (tiyako); 50 Trumpets (kakaki); 50 Drums (koso),1194; 1195; 1192; 1193,About 210 people,"Johnson, S. (1921). The History of the Yoruba from the Earliest Times to the Beginning of the British Protectorate. (O. Johnson, Ed.). London: George Routledge & Sons, Ltd.",,,@Johnson1921Yoruba,
448,YORUBA,29107,,Bara funeral ceremony,1 Bugle (okinkin); 1 Trumpet (kakaki); 1 Drum (koso),1194; 1192; 1193,,"Johnson, S. (1921). The History of the Yoruba from the Earliest Times to the Beginning of the British Protectorate. (O. Johnson, Ed.). London: George Routledge & Sons, Ltd.",,,@Johnson1921Yoruba,
113,JIVARO,17667,,,1 Drum; 1 Flute (pinqui),283; 286,,"Karsten, R. (1935). The head-hunters of western Amazonas: The life and culture of the Jibaro Indians of eastern Ecuador. Helsinki: Centraltryckeriet.","Karsten, 163",,@Karsten1935Thehead-huntersofwesternAmazonas,
